<DATE>;<VALUE>;<TYPE>
16.10.2018;115160;Открытие
16.10.2018;115220;Открытие
16.10.2018;115200;Открытие
16.10.2018;115170;Открытие
16.10.2018;115180;Открытие
16.10.2018;115150;Открытие
16.10.2018;115140;Открытие
16.10.2018;115250;Открытие
16.10.2018;115100;Открытие
16.10.2018;115110;Открытие
16.10.2018;115060;Открытие
16.10.2018;115080;Открытие
16.10.2018;115100;Открытие
16.10.2018;115090;Открытие
16.10.2018;115090;Открытие
16.10.2018;115110;Открытие
16.10.2018;115040;Открытие
16.10.2018;115090;Открытие
16.10.2018;115090;Открытие
16.10.2018;115050;Открытие
16.10.2018;115080;Открытие
16.10.2018;114960;Открытие
16.10.2018;114930;Открытие
16.10.2018;114960;Открытие
16.10.2018;114980;Открытие
16.10.2018;114970;Открытие
16.10.2018;114970;Открытие
16.10.2018;114880;Открытие
16.10.2018;114890;Открытие
16.10.2018;114960;Открытие
16.10.2018;114900;Открытие
16.10.2018;115030;Открытие
16.10.2018;115140;Открытие
16.10.2018;115220;Открытие
16.10.2018;115220;Открытие
16.10.2018;115200;Открытие
16.10.2018;115290;Открытие
16.10.2018;115370;Открытие
16.10.2018;115340;Открытие
16.10.2018;115470;Открытие
16.10.2018;115520;Открытие
16.10.2018;115690;Открытие
16.10.2018;115590;Открытие
16.10.2018;115640;Открытие
16.10.2018;115660;Открытие
16.10.2018;115620;Открытие
16.10.2018;115620;Открытие
16.10.2018;115570;Открытие
16.10.2018;115680;Открытие
16.10.2018;115590;Открытие
16.10.2018;115620;Открытие
16.10.2018;115620;Открытие
16.10.2018;115580;Открытие
16.10.2018;115640;Открытие
16.10.2018;115590;Открытие
16.10.2018;115620;Открытие
16.10.2018;115670;Открытие
16.10.2018;115670;Открытие
16.10.2018;115720;Открытие
16.10.2018;115740;Открытие
16.10.2018;115770;Открытие
16.10.2018;115810;Открытие
16.10.2018;115730;Открытие
16.10.2018;115670;Открытие
16.10.2018;115710;Открытие
16.10.2018;115680;Открытие
16.10.2018;115680;Открытие
16.10.2018;115690;Открытие
16.10.2018;115740;Открытие
16.10.2018;115680;Открытие
16.10.2018;115670;Открытие
16.10.2018;115700;Открытие
16.10.2018;115720;Открытие
16.10.2018;115690;Открытие
16.10.2018;115730;Открытие
16.10.2018;115780;Открытие
16.10.2018;115810;Открытие
16.10.2018;115820;Открытие
16.10.2018;115900;Открытие
16.10.2018;115930;Открытие
16.10.2018;115940;Открытие
16.10.2018;115950;Открытие
16.10.2018;115930;Открытие
16.10.2018;115960;Открытие
16.10.2018;115930;Открытие
16.10.2018;115900;Открытие
16.10.2018;116000;Открытие
16.10.2018;116050;Открытие
16.10.2018;116140;Открытие
16.10.2018;116120;Открытие
16.10.2018;116190;Открытие
16.10.2018;116210;Открытие
16.10.2018;116250;Открытие
16.10.2018;116240;Открытие
16.10.2018;116300;Открытие
16.10.2018;116370;Открытие
16.10.2018;116370;Открытие
16.10.2018;116330;Открытие
16.10.2018;116410;Открытие
16.10.2018;116390;Открытие
16.10.2018;116360;Открытие
16.10.2018;116370;Открытие
16.10.2018;116340;Открытие
16.10.2018;116330;Открытие
16.10.2018;116310;Открытие
16.10.2018;116290;Открытие
16.10.2018;116270;Открытие
16.10.2018;116240;Открытие
16.10.2018;116270;Открытие
16.10.2018;116340;Открытие
16.10.2018;116400;Открытие
16.10.2018;116410;Открытие
16.10.2018;116340;Открытие
16.10.2018;116370;Открытие
16.10.2018;116390;Открытие
16.10.2018;116480;Открытие
16.10.2018;116630;Открытие
16.10.2018;116660;Открытие
16.10.2018;116540;Открытие
16.10.2018;116570;Открытие
16.10.2018;116620;Открытие
16.10.2018;116560;Открытие
16.10.2018;116540;Открытие
16.10.2018;116560;Открытие
16.10.2018;116540;Открытие
16.10.2018;116570;Открытие
16.10.2018;116560;Открытие
16.10.2018;116570;Открытие
16.10.2018;116610;Открытие
16.10.2018;116620;Открытие
16.10.2018;116610;Открытие
16.10.2018;116620;Открытие
16.10.2018;116630;Открытие
16.10.2018;116590;Открытие
16.10.2018;116570;Открытие
16.10.2018;116580;Открытие
16.10.2018;116600;Открытие
16.10.2018;116590;Открытие
16.10.2018;116660;Открытие
16.10.2018;116660;Открытие
16.10.2018;116770;Открытие
16.10.2018;116760;Открытие
16.10.2018;116720;Открытие
16.10.2018;116690;Открытие
16.10.2018;116740;Открытие
16.10.2018;116770;Открытие
16.10.2018;116740;Открытие
16.10.2018;116700;Открытие
16.10.2018;116790;Открытие
16.10.2018;116870;Открытие
16.10.2018;116890;Открытие
16.10.2018;116900;Открытие
16.10.2018;116970;Открытие
16.10.2018;116870;Открытие
16.10.2018;116840;Открытие
16.10.2018;116800;Открытие
16.10.2018;116800;Открытие
16.10.2018;116760;Открытие
16.10.2018;116690;Открытие
16.10.2018;116680;Открытие
16.10.2018;116590;Открытие
16.10.2018;116630;Открытие
16.10.2018;116560;Открытие
16.10.2018;116580;Открытие
16.10.2018;116580;Открытие
16.10.2018;116600;Открытие
16.10.2018;116520;Открытие
16.10.2018;116480;Открытие
16.10.2018;116510;Открытие
16.10.2018;116510;Открытие
16.10.2018;116550;Открытие
16.10.2018;116540;Открытие
16.10.2018;116570;Открытие
16.10.2018;116610;Открытие
16.10.2018;116570;Открытие
16.10.2018;116570;Открытие
16.10.2018;116570;Открытие
16.10.2018;116610;Открытие
16.10.2018;116600;Открытие
16.10.2018;116550;Открытие
16.10.2018;116530;Открытие
16.10.2018;116550;Открытие
16.10.2018;116570;Открытие
16.10.2018;116550;Открытие
16.10.2018;116580;Открытие
16.10.2018;116590;Открытие
16.10.2018;116580;Открытие
16.10.2018;116580;Открытие
16.10.2018;116570;Открытие
16.10.2018;116570;Открытие
16.10.2018;116580;Открытие
16.10.2018;116550;Открытие
16.10.2018;116560;Открытие
16.10.2018;116580;Открытие
16.10.2018;116570;Открытие
16.10.2018;116570;Открытие
16.10.2018;116590;Открытие
16.10.2018;116550;Открытие
16.10.2018;116580;Открытие
16.10.2018;116570;Открытие
16.10.2018;116570;Открытие
16.10.2018;116590;Открытие
16.10.2018;116590;Открытие
16.10.2018;116590;Открытие
16.10.2018;116590;Открытие
16.10.2018;116610;Открытие
16.10.2018;116610;Открытие
16.10.2018;116620;Открытие
16.10.2018;116600;Открытие
16.10.2018;116650;Открытие
16.10.2018;116640;Открытие
16.10.2018;116600;Открытие
16.10.2018;116600;Открытие
16.10.2018;116600;Открытие
16.10.2018;116610;Открытие
16.10.2018;116630;Открытие
16.10.2018;116640;Открытие
16.10.2018;116650;Открытие
16.10.2018;116650;Открытие
16.10.2018;116670;Открытие
16.10.2018;116670;Открытие
16.10.2018;116690;Открытие
16.10.2018;116720;Открытие
16.10.2018;116740;Открытие
16.10.2018;116800;Открытие
16.10.2018;116780;Открытие
16.10.2018;116760;Открытие
16.10.2018;116730;Открытие
16.10.2018;116750;Открытие
16.10.2018;116770;Открытие
16.10.2018;116790;Открытие
16.10.2018;116810;Открытие
16.10.2018;116810;Открытие
16.10.2018;116790;Открытие
16.10.2018;116820;Открытие
16.10.2018;116800;Открытие
16.10.2018;116700;Открытие
16.10.2018;116700;Открытие
16.10.2018;116750;Открытие
16.10.2018;116770;Открытие
16.10.2018;116780;Открытие
16.10.2018;116830;Открытие
16.10.2018;116850;Открытие
16.10.2018;116800;Открытие
16.10.2018;116840;Открытие
16.10.2018;116830;Открытие
16.10.2018;116860;Открытие
16.10.2018;116870;Открытие
16.10.2018;116850;Открытие
16.10.2018;116890;Открытие
16.10.2018;116870;Открытие
16.10.2018;116840;Открытие
16.10.2018;116790;Открытие
16.10.2018;116790;Открытие
16.10.2018;116810;Открытие
16.10.2018;116760;Открытие
16.10.2018;116720;Открытие
16.10.2018;116730;Открытие
16.10.2018;116730;Открытие
16.10.2018;116720;Открытие
16.10.2018;116730;Открытие
16.10.2018;116710;Открытие
16.10.2018;116700;Открытие
16.10.2018;116690;Открытие
16.10.2018;116740;Открытие
16.10.2018;116710;Открытие
16.10.2018;116740;Открытие
16.10.2018;116740;Открытие
